ID	Hardness	Diameter	T-Flour	B-Flour	SRC-W
GID276	78.05876992	2.652994877	68.13616222	43.7148053	60.04907919
GID277	61.67272086	2.652978285	72.97582686	52.33947957	59.11433971
GID278	68.8778147	2.604788005	69.03617576	47.59206097	60.78959017
GID279	65.37105838	2.656999725	67.83847997	48.5125555	62.0969352
GID280	70.8255655	2.663336679	67.58104984	45.25148927	61.18112008
GID281	56.93991504	2.530037659	69.33035894	49.74237174	59.93598228
GID282	66.15405588	2.442412507	67.49375852	47.02099025	61.32549658
GID283	57.00424261	2.716353009	70.23409147	48.38441697	59.14170643
GID284	64.93434036	2.6059638	69.95287659	48.44988277	60.35005543
GID285	49.16630228	2.561812179	71.14389905	52.17552917	55.49746505
GID286	53.00809353	2.571347112	68.95025175	49.50775872	56.64540225
GID287	58.54327904	2.636968415	69.72991914	50.43036054	56.73722024
GID288	64.73817459	2.632396949	68.28433443	47.56547556	60.58528228
GID289	79.27633391	2.659328942	67.1690101	40.69372723	66.93529382
GID290	58.14659987	2.618871456	68.78217068	48.11312414	59.66501219
GID291	58.92071816	2.476857048	69.30597458	51.87967389	59.15495892
GID292	62.85289957	2.545111873	69.15933211	51.10715705	59.22299827
GID293	57.14627626	2.512903973	68.11972537	49.12688266	58.618513
GID294	63.2755373	2.470534008	68.43076019	49.06149831	58.06749945
GID295	64.25360627	2.484392068	68.74495801	49.67720578	57.32278272
GID296	71.13301392	2.481973489	68.566797	48.23972592	57.92377411
GID297	59.10670653	2.419424047	70.44193352	51.07631035	55.45517841
GID298	67.32990449	2.53790345	69.9573544	50.00063953	56.29411861
GID299	72.92123024	2.551360653	71.69455932	51.37299712	58.92471621
GID300	69.5454415	2.515536736	69.86313478	49.04126461	58.20188274
GID301	57.22047603	2.533121943	68.3109579	49.64139775	57.56754099
GID302	71.88005374	2.56667706	69.11631874	46.48554799	59.55735068
GID303	69.5550446	2.689385018	70.64242937	48.65095948	59.11158353
GID304	74.46310027	2.311323619	68.66492494	49.33589213	58.35975552
GID305	80.19225895	2.532733034	69.41095257	46.13096371	60.17984253
GID306	73.16648551	2.43994194	67.85553229	46.6690331	60.22897704
GID307	56.04113608	2.618270264	72.94816018	54.07634195	57.250683
GID308	65.12279798	2.584292896	70.36624842	49.17229299	58.02554942
GID309	70.83860054	2.529282984	68.13516783	45.59252731	59.96422353
GID310	70.27524368	2.606738902	70.20118779	47.0655426	61.14700698
GID311	70.58925281	2.555659052	71.06323191	50.21870357	59.37343914
GID312	67.75797695	2.562440915	69.92883944	48.55763053	58.52281791
GID313	64.28960736	2.612227182	68.30441649	47.05296317	59.79210268
GID314	60.20173106	2.555185866	70.47735028	51.11864209	58.17432963
GID315	70.77118884	2.519247578	67.45923575	46.32639959	63.08953915
GID316	59.72268365	2.561583907	70.66323565	50.98831931	58.36030849
GID317	72.48638986	2.553554571	67.1403615	45.64012289	62.57225735
GID318	74.02620604	2.602985568	68.14794122	46.19054428	63.02411404
GID319	71.04696469	2.614390647	68.89760673	46.37375074	62.23469771
GID320	77.70910369	2.644410447	67.2495251	44.85215244	59.12995405
GID321	77.46138882	2.723064749	68.80309567	43.20641294	62.74717531
GID322	76.859483	2.514140513	68.40790799	49.11090642	57.81331992
GID323	70.49122755	2.69573336	68.27995557	45.10636648	62.62888612
GID324	63.96586623	2.625958904	68.72894379	48.06843273	55.82191008
GID325	68.05027969	2.556339447	68.73039261	47.94418768	60.56759149
GID326	64.76598869	2.600258447	68.14367205	47.86267923	56.44884773
GID327	73.24219678	2.554535126	68.72825178	47.64355979	59.27824262
GID328	73.82439435	2.605061414	68.87570302	46.84828888	60.90713616
GID329	66.74379914	2.605251157	68.67467107	46.43063676	60.35831468
GID330	68.79171097	2.606469762	68.69541297	47.7181271	59.6435054
GID331	66.597208	2.717122513	69.58119509	49.93824984	56.82070478
GID332	68.49259435	2.598173845	67.70883503	44.1773864	58.96205649
GID333	63.73463324	2.628268395	68.39756259	47.05064399	59.27936525
GID334	62.44521074	2.65744437	68.45312709	48.65829506	60.0489688
GID335	66.48852897	2.665855994	69.34112168	47.16543494	61.80050741
GID336	67.87239269	2.690857447	70.0642004	48.46714325	57.69472216
GID337	68.38202595	2.457457363	67.79835583	48.06113031	58.0364437
GID338	71.90700006	2.564374852	68.17669202	45.12167694	65.38869409
GID339	67.50884217	2.502465722	70.66047032	49.37988716	61.03715946
GID340	72.01059703	2.572143576	68.45965838	47.70127627	59.20336413
GID341	79.07711784	2.569541892	68.98338075	45.38461706	60.87509367
GID342	76.77596893	2.636624615	67.62180409	43.15949427	61.88006229
GID343	72.40010565	2.555840504	68.16709185	46.75384985	59.01628263
GID344	67.71355315	2.702573223	69.64415126	49.08941492	61.00204907
GID345	64.68213588	2.621899465	68.31474593	47.22720307	60.17504394
GID346	65.97355845	2.564063056	69.69994888	49.20708267	58.22736574
GID347	65.04592546	2.637704089	69.39049674	47.15456516	61.60763776
GID348	65.9767778	2.543729707	69.72217912	49.76629947	59.97135947
GID349	77.16224691	2.636932051	68.48432676	44.10550085	62.89624491
GID350	59.8326914	2.523140915	71.37557333	50.10242259	57.5994898
GID351	62.9360493	2.428052206	69.68973596	48.69160994	58.9986177
GID352	63.78783099	2.523527424	70.64057983	49.33288896	60.00668952
GID353	74.96674417	2.590536835	66.80788055	42.67782239	63.98432795
GID354	65.12034033	2.730979706	68.67895294	46.89632872	59.07274834
GID355	61.03009807	2.543325814	70.17000634	50.82852651	58.74149437
GID356	68.97329211	2.582606958	69.17636398	47.77716754	59.73148425
GID357	65.08355872	2.562776096	69.18667778	49.40479172	58.33798537
GID358	66.60252066	2.55155497	69.18444617	48.03935862	58.94878189
GID359	77.00527109	2.439298746	68.1732619	43.34054195	65.16820132
GID360	63.05503619	2.476237877	70.66200893	50.49292461	59.71987586
GID361	61.19127532	2.490392582	68.90108701	48.03735154	57.23213569
GID362	62.62238996	2.613603957	69.1270452	48.43273713	59.6990809
GID363	63.34242472	2.580799612	69.67682441	49.81490747	57.36079081
GID364	66.05185215	2.502521863	68.64470623	48.05655827	61.41414681
GID365	58.91109206	2.496486807	70.73104115	50.97247909	58.24439542
GID366	65.3422282	2.565764018	69.8313176	48.74830889	59.13078427
GID367	66.9381614	2.510425283	68.91321855	46.99291539	59.68424009
GID368	55.66795533	2.660805439	70.80684792	52.33832561	57.84343171
GID369	73.31857629	2.604415929	68.5780831	46.51146876	60.77635711
GID370	72.17182853	2.578815775	68.88764182	46.60958306	63.24362494
GID371	66.69825346	2.687419124	69.45338579	47.28772016	60.33480518
GID372	69.33955645	2.546846702	69.29082334	47.48253504	60.16362832
GID373	66.25394677	2.601039972	67.64959952	48.75118969	61.02577706
GID374	65.61897197	2.535115435	69.39535968	50.31678059	59.28223337
GID375	62.14780907	2.340991998	69.29078372	49.52535534	57.2092425
GID376	65.95421896	2.625980456	67.78961857	48.18492532	59.82005934
GID377	68.4635972	2.618957582	67.61104093	45.78681545	64.84474224
GID378	78.33473374	2.489894217	66.73222467	44.20303566	62.21418632
GID379	70.74060341	2.371118681	69.59848809	50.21451655	56.64149014
GID380	64.33481845	2.482903707	70.43377093	52.87061931	58.16427602
GID381	71.13598307	2.49516141	68.88121235	48.71003184	55.71439219
GID382	73.45476533	2.475731682	71.38709592	51.1617258	55.185481
GID383	64.65677779	2.577779105	69.61071049	49.29314382	59.67779379
GID384	68.6476486	2.674449567	72.90789765	51.75597677	57.7492445
GID385	77.98492154	2.475511919	66.4348593	42.30327583	61.68074351
GID386	67.30090819	2.374851524	65.19278235	46.26884249	59.99958531
GID387	66.72354269	2.630227738	66.9211472	47.43191578	60.69187173
GID388	75.20305654	2.462984786	68.35340018	46.30130362	59.68441247
GID389	68.4351348	2.64539501	69.0778566	48.14995007	58.16701964
GID390	72.84118332	2.534933929	68.21283915	45.78631684	59.49424317
GID391	80.78473786	2.403739062	71.08048963	49.56871719	57.60900859
GID392	67.75004811	2.411524671	69.44348271	49.20294958	55.62069044
GID393	70.13299463	2.359454921	69.33964877	48.26218398	57.26526916
GID394	74.40455774	2.425524944	64.3154669	43.27914129	59.8383601
GID395	68.79835011	2.556642671	68.20329746	46.76352497	60.30330806
GID396	69.6617098	2.586076711	69.47932552	48.16094669	58.57644844
GID397	68.42446654	2.535967328	68.81109168	47.2752306	59.07033751
GID398	63.1227175	2.601447425	70.17404678	50.71409425	58.26281201
GID399	68.31392443	2.486708957	69.19719823	49.14682135	57.04395547
GID400	69.01205316	2.472627329	68.38566794	47.45124898	56.73886166
GID401	86.63577464	2.554549253	66.13799406	40.03131785	71.02002384
GID402	66.90133198	2.519179969	69.2427556	46.68697366	58.16215495
GID403	71.15717564	2.545220552	68.67709366	46.37189623	56.57416172
GID404	72.47027952	2.524255182	69.34062962	48.58659739	61.3699579
